app_id: 3, app_name: pulse_doppler_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084312866566, ref_stop_time: 1799084312983566, actual_exe_time: 117000, task_app_start_time:1799084304864155, task_sched_time:1799084312864496
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 13, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084313476347, ref_stop_time: 1799084313499297, actual_exe_time: 22950, task_app_start_time:1799084285413802, task_sched_time:1799084313468907
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 14, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084313988507, ref_stop_time: 1799084314013197, actual_exe_time: 24690, task_app_start_time:1799084285413802, task_sched_time:1799084313986197
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 32, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084314380007, ref_stop_time: 1799084314928917, actual_exe_time: 548910, task_app_start_time:1799084274614400, task_sched_time:1799084314371757
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 7, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084315625787, ref_stop_time: 1799084315649907, actual_exe_time: 24120, task_app_start_time:1799084295027904, task_sched_time:1799084315622457
app_id: 3, app_name: pulse_doppler_api-aarch64, task_id: 2, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084315733547, ref_stop_time: 1799084317135777, actual_exe_time: 1402230, task_app_start_time:1799084304864155, task_sched_time:1799084315723587
app_id: 1, app_name: pulse_doppler_api-aarch64, task_id: 15, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084317174597, ref_stop_time: 1799084317198987, actual_exe_time: 24390, task_app_start_time:1799084285413802, task_sched_time:1799084316180937
app_id: 2, app_name: pulse_doppler_api-aarch64, task_id: 8, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084317274137, ref_stop_time: 1799084317299007, actual_exe_time: 24870, task_app_start_time:1799084295027904, task_sched_time:1799084316988927
app_id: 3, app_name: pulse_doppler_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084317668577, ref_stop_time: 1799084317689817, actual_exe_time: 21240, task_app_start_time:1799084304864155, task_sched_time:1799084317665307
app_id: 0, app_name: pulse_doppler_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1799084318936437, ref_stop_time: 1799084319053197, actual_exe_time: 116760, task_app_start_time:1799084274614400, task_sched_time:1799084318931097
