app_id: 0, app_name: pulse_doppler_api-x86, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599291188533, ref_stop_time: 41599291275352, actual_exe_time: 86819, task_app_start_time:41599252286092, task_sched_time:41599291187092
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 44, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599291359421, ref_stop_time: 41599291452491, actual_exe_time: 93070, task_app_start_time:41599252286092, task_sched_time:41599291358471
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599291635669, ref_stop_time: 41599291952517, actual_exe_time: 316848, task_app_start_time:41599252286092, task_sched_time:41599291634109
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 46, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599292177084, ref_stop_time: 41599292220534, actual_exe_time: 43450, task_app_start_time:41599252286092, task_sched_time:41599292175351
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599292326313, ref_stop_time: 41599292334113, actual_exe_time: 7800, task_app_start_time:41599252286092, task_sched_time:41599292325388
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599292583048, ref_stop_time: 41599292600757, actual_exe_time: 17709, task_app_start_time:41599252286092, task_sched_time:41599292501848
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599292786157, ref_stop_time: 41599292833235, actual_exe_time: 47078, task_app_start_time:41599252286092, task_sched_time:41599292784206
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 50, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599293005337, ref_stop_time: 41599293025720, actual_exe_time: 20383, task_app_start_time:41599252286092, task_sched_time:41599292897111
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 51, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599293157505, ref_stop_time: 41599293179354, actual_exe_time: 21849, task_app_start_time:41599252286092, task_sched_time:41599293155712
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 52, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599293487533, ref_stop_time: 41599293648345, actual_exe_time: 160812, task_app_start_time:41599252286092, task_sched_time:41599293345418
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 53, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599293664243, ref_stop_time: 41599293690465, actual_exe_time: 26222, task_app_start_time:41599252286092, task_sched_time:41599293663032
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 54, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599293797705, ref_stop_time: 41599293821389, actual_exe_time: 23684, task_app_start_time:41599252286092, task_sched_time:41599293796893
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599293857000, ref_stop_time: 41599294003811, actual_exe_time: 146811, task_app_start_time:41599252286092, task_sched_time:41599293849749
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 56, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599294245385, ref_stop_time: 41599294345247, actual_exe_time: 99862, task_app_start_time:41599252286092, task_sched_time:41599294244774
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 57, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599295390836, ref_stop_time: 41599295414138, actual_exe_time: 23302, task_app_start_time:41599252286092, task_sched_time:41599294490706
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 58, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599295848935, ref_stop_time: 41599295871273, actual_exe_time: 22338, task_app_start_time:41599252286092, task_sched_time:41599295847773
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 59, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599296134220, ref_stop_time: 41599296157181, actual_exe_time: 22961, task_app_start_time:41599252286092, task_sched_time:41599296132491
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 60, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599296280463, ref_stop_time: 41599296297964, actual_exe_time: 17501, task_app_start_time:41599252286092, task_sched_time:41599296266817
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 61, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599298906751, ref_stop_time: 41599298929394, actual_exe_time: 22643, task_app_start_time:41599252286092, task_sched_time:41599296382030
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 62, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599299146560, ref_stop_time: 41599299168429, actual_exe_time: 21869, task_app_start_time:41599252286092, task_sched_time:41599299145330
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 63, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599299270279, ref_stop_time: 41599300927348, actual_exe_time: 1657069, task_app_start_time:41599252286092, task_sched_time:41599299268865
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 64, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599304991599, ref_stop_time: 41599305026631, actual_exe_time: 35032, task_app_start_time:41599252286092, task_sched_time:41599304987644
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 65, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599305499469, ref_stop_time: 41599305595465, actual_exe_time: 95996, task_app_start_time:41599252286092, task_sched_time:41599305244432
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 66, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599305782252, ref_stop_time: 41599305873400, actual_exe_time: 91148, task_app_start_time:41599252286092, task_sched_time:41599305780205
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 67, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599306057376, ref_stop_time: 41599306420328, actual_exe_time: 362952, task_app_start_time:41599252286092, task_sched_time:41599306055944
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 68, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599307365736, ref_stop_time: 41599307384381, actual_exe_time: 18645, task_app_start_time:41599252286092, task_sched_time:41599306788370
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 69, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599307981744, ref_stop_time: 41599308055709, actual_exe_time: 73965, task_app_start_time:41599252286092, task_sched_time:41599307965306
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 70, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599308205134, ref_stop_time: 41599308534050, actual_exe_time: 328916, task_app_start_time:41599252286092, task_sched_time:41599308202952
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 71, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599308634617, ref_stop_time: 41599308675346, actual_exe_time: 40729, task_app_start_time:41599252286092, task_sched_time:41599308604085
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 72, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599309026926, ref_stop_time: 41599309034561, actual_exe_time: 7635, task_app_start_time:41599252286092, task_sched_time:41599308856145
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 73, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599309193196, ref_stop_time: 41599309237259, actual_exe_time: 44063, task_app_start_time:41599252286092, task_sched_time:41599309191617
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 74, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599309608579, ref_stop_time: 41599309629014, actual_exe_time: 20435, task_app_start_time:41599252286092, task_sched_time:41599309321202
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 75, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599310536868, ref_stop_time: 41599310561110, actual_exe_time: 24242, task_app_start_time:41599252286092, task_sched_time:41599310535146
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 76, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599311719937, ref_stop_time: 41599311769593, actual_exe_time: 49656, task_app_start_time:41599252286092, task_sched_time:41599311717616
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 77, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599311854304, ref_stop_time: 41599311985188, actual_exe_time: 130884, task_app_start_time:41599252286092, task_sched_time:41599311853049
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 78, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599312182585, ref_stop_time: 41599312192214, actual_exe_time: 9629, task_app_start_time:41599252286092, task_sched_time:41599312180494
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 79, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599312254385, ref_stop_time: 41599312356383, actual_exe_time: 101998, task_app_start_time:41599252286092, task_sched_time:41599312253275
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 80, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599312402164, ref_stop_time: 41599312550725, actual_exe_time: 148561, task_app_start_time:41599252286092, task_sched_time:41599312400566
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 81, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599312678855, ref_stop_time: 41599312687250, actual_exe_time: 8395, task_app_start_time:41599252286092, task_sched_time:41599312678137
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 82, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599315149894, ref_stop_time: 41599315323828, actual_exe_time: 173934, task_app_start_time:41599252286092, task_sched_time:41599312720070
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 83, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599315525948, ref_stop_time: 41599315573918, actual_exe_time: 47970, task_app_start_time:41599252286092, task_sched_time:41599315523331
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 84, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599315851935, ref_stop_time: 41599315877049, actual_exe_time: 25114, task_app_start_time:41599252286092, task_sched_time:41599315850704
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 85, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599315946826, ref_stop_time: 41599316105766, actual_exe_time: 158940, task_app_start_time:41599252286092, task_sched_time:41599315944803
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 86, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599316414255, ref_stop_time: 41599316456872, actual_exe_time: 42617, task_app_start_time:41599252286092, task_sched_time:41599316412523
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 87, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599316977580, ref_stop_time: 41599317001483, actual_exe_time: 23903, task_app_start_time:41599252286092, task_sched_time:41599316976316
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 88, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599317306706, ref_stop_time: 41599319300195, actual_exe_time: 1993489, task_app_start_time:41599252286092, task_sched_time:41599317305352
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 89, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599317955903, ref_stop_time: 41599319360760, actual_exe_time: 1404857, task_app_start_time:41599252286092, task_sched_time:41599317954240
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 90, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599320018077, ref_stop_time: 41599320056364, actual_exe_time: 38287, task_app_start_time:41599252286092, task_sched_time:41599320016094
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 91, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599320619629, ref_stop_time: 41599320629725, actual_exe_time: 10096, task_app_start_time:41599252286092, task_sched_time:41599320617568
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 92, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599320807257, ref_stop_time: 41599321409995, actual_exe_time: 602738, task_app_start_time:41599252286092, task_sched_time:41599320806185
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 93, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599321680891, ref_stop_time: 41599321730393, actual_exe_time: 49502, task_app_start_time:41599252286092, task_sched_time:41599321679435
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 94, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599322712973, ref_stop_time: 41599322835718, actual_exe_time: 122745, task_app_start_time:41599252286092, task_sched_time:41599321872821
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 95, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 41599323513504, ref_stop_time: 41599323892675, actual_exe_time: 379171, task_app_start_time:41599252286092, task_sched_time:41599323322313
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 96, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 41599323933296, ref_stop_time: 41599323944398, actual_exe_time: 11102, task_app_start_time:41599252286092, task_sched_time:41599323802084
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 97, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 41599324226031, ref_stop_time: 41599324276872, actual_exe_time: 50841, task_app_start_time:41599252286092, task_sched_time:41599324223308
