app_id: 0, app_name: SAR_api-aarch64, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160814048770, ref_stop_time: 253160814137990, actual_exe_time: 89220, task_app_start_time:253160102210455, task_sched_time:253160814038480
app_id: 0, app_name: SAR_api-aarch64, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160814466550, ref_stop_time: 253160814568970, actual_exe_time: 102420, task_app_start_time:253160102210455, task_sched_time:253160814462920
app_id: 0, app_name: SAR_api-aarch64, task_id: 38, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160815032710, ref_stop_time: 253160815106900, actual_exe_time: 74190, task_app_start_time:253160102210455, task_sched_time:253160814970520
app_id: 0, app_name: SAR_api-aarch64, task_id: 39, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160815435340, ref_stop_time: 253160815547120, actual_exe_time: 111780, task_app_start_time:253160102210455, task_sched_time:253160815427570
app_id: 0, app_name: SAR_api-aarch64, task_id: 40, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160815774910, ref_stop_time: 253160815845440, actual_exe_time: 70530, task_app_start_time:253160102210455, task_sched_time:253160815767680
app_id: 0, app_name: SAR_api-aarch64, task_id: 41, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160816361260, ref_stop_time: 253160816478410, actual_exe_time: 117150, task_app_start_time:253160102210455, task_sched_time:253160816313860
app_id: 0, app_name: SAR_api-aarch64, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160816672240, ref_stop_time: 253160816761400, actual_exe_time: 89160, task_app_start_time:253160102210455, task_sched_time:253160816662910
app_id: 0, app_name: SAR_api-aarch64, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160817233390, ref_stop_time: 253160817323510, actual_exe_time: 90120, task_app_start_time:253160102210455, task_sched_time:253160817223580
app_id: 0, app_name: SAR_api-aarch64, task_id: 44, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160817722000, ref_stop_time: 253160817796190, actual_exe_time: 74190, task_app_start_time:253160102210455, task_sched_time:253160817714290
app_id: 0, app_name: SAR_api-aarch64, task_id: 45, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160818133990, ref_stop_time: 253160818237910, actual_exe_time: 103920, task_app_start_time:253160102210455, task_sched_time:253160818121630
app_id: 0, app_name: SAR_api-aarch64, task_id: 46, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160818577721, ref_stop_time: 253160818645911, actual_exe_time: 68190, task_app_start_time:253160102210455, task_sched_time:253160818563561
app_id: 0, app_name: SAR_api-aarch64, task_id: 47, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160819036421, ref_stop_time: 253160819153421, actual_exe_time: 117000, task_app_start_time:253160102210455, task_sched_time:253160819033601
app_id: 0, app_name: SAR_api-aarch64, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160819512791, ref_stop_time: 253160819602371, actual_exe_time: 89580, task_app_start_time:253160102210455, task_sched_time:253160819509131
app_id: 0, app_name: SAR_api-aarch64, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160819925741, ref_stop_time: 253160820015111, actual_exe_time: 89370, task_app_start_time:253160102210455, task_sched_time:253160819920311
app_id: 0, app_name: SAR_api-aarch64, task_id: 50, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160820423351, ref_stop_time: 253160820497451, actual_exe_time: 74100, task_app_start_time:253160102210455, task_sched_time:253160820406911
app_id: 0, app_name: SAR_api-aarch64, task_id: 51, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160820651651, ref_stop_time: 253160820755541, actual_exe_time: 103890, task_app_start_time:253160102210455, task_sched_time:253160820636771
app_id: 0, app_name: SAR_api-aarch64, task_id: 52, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160821227861, ref_stop_time: 253160821297251, actual_exe_time: 69390, task_app_start_time:253160102210455, task_sched_time:253160821223001
app_id: 0, app_name: SAR_api-aarch64, task_id: 53, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160821695861, ref_stop_time: 253160821815651, actual_exe_time: 119790, task_app_start_time:253160102210455, task_sched_time:253160821685991
