app_id: 0, app_name: TX_api-x86, task_id: 40, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002722436053, ref_stop_time: 98002722445767, actual_exe_time: 9714, task_app_start_time:98002692625431, task_sched_time:98002722434192
app_id: 0, app_name: TX_api-x86, task_id: 41, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002725120698, ref_stop_time: 98002725131162, actual_exe_time: 10464, task_app_start_time:98002692625431, task_sched_time:98002725057001
app_id: 0, app_name: TX_api-x86, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002725210961, ref_stop_time: 98002725219070, actual_exe_time: 8109, task_app_start_time:98002692625431, task_sched_time:98002725209323
app_id: 0, app_name: TX_api-x86, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002725343857, ref_stop_time: 98002725353038, actual_exe_time: 9181, task_app_start_time:98002692625431, task_sched_time:98002725342265
app_id: 0, app_name: TX_api-x86, task_id: 44, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002725543309, ref_stop_time: 98002725552417, actual_exe_time: 9108, task_app_start_time:98002692625431, task_sched_time:98002725484176
app_id: 0, app_name: TX_api-x86, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002725633049, ref_stop_time: 98002725640550, actual_exe_time: 7501, task_app_start_time:98002692625431, task_sched_time:98002725631216
app_id: 0, app_name: TX_api-x86, task_id: 46, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002725760040, ref_stop_time: 98002725768392, actual_exe_time: 8352, task_app_start_time:98002692625431, task_sched_time:98002725759070
app_id: 0, app_name: TX_api-x86, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002725941329, ref_stop_time: 98002725949531, actual_exe_time: 8202, task_app_start_time:98002692625431, task_sched_time:98002725896540
app_id: 0, app_name: TX_api-x86, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002726066608, ref_stop_time: 98002726074059, actual_exe_time: 7451, task_app_start_time:98002692625431, task_sched_time:98002726065150
app_id: 0, app_name: TX_api-x86, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002726192905, ref_stop_time: 98002726201316, actual_exe_time: 8411, task_app_start_time:98002692625431, task_sched_time:98002726190166
